"","JHallCr","NFChetHigh","Coast","HunterCr","Winchuck","ChetcoMain","PistolRSF"
"JHallCr",NA,0.0139852465019486,0.0416987262863446,0.0836338174887144,0.0316579173245634,0.0179328903188962,-0.0311011456572495
"NFChetHigh",0.0257059314047024,NA,0.0248329157888998,0.0717547613845742,0.0298185131091547,0.0182327118551986,-0.024162314512613
"Coast",0.0632368429023994,0.0499599920183499,NA,0.0423960237252604,0.0537584672595814,0.00204692328688827,0.0148680795847751
"HunterCr",0.181330009151136,0.149620215230983,0.0824444536004236,NA,0.119029631495006,0.019447166058015,NA
"Winchuck",0.0617351107084932,0.0630852419390612,0.0713326821831846,0.18990840696293,NA,0.0263523205072049,-0.00383363938017461
"ChetcoMain",0.0834852999825946,0.0816774299169504,0.00297747203970561,-0.0298019092353752,0.0766761478221086,NA,-0.0376855094213773
"PistolRSF",-0.0115641686823047,0.0116235535544307,0.035641919623083,NA,0.0345345147314101,-0.061291920011844,NA
