"","d.f.","Sum of Squares","Percent variation","P","Phi statistic"
"Between ZONE2  ","4 (4)","80.9 (18.2)","27.6 (11.2)","1e-04 (1e-04)","0.325 (0.108)"
"Between samples Within ZONE2","16 (16)","22.5 (17.2)","4.93 (-0.413)","1e-04 (0.445)","0.0682 (-0.00466)"
"Within samples","422 (125)","273 (138)","67.5 (89.2)","1e-04 (1e-04)","0.276 (0.112)"
