"","d.f.","Sum of Squares","Percent variation","P","Phi statistic"
"Between ZONE2  ","3 (3)","62.4 (11.6)","26.4 (8.4)","2e-04 (0.0012)","0.308 (0.0885)"
"Between samples Within ZONE2","11 (11)","16.8 (12.7)","4.46 (0.447)","1e-04 (0.362)","0.0605 (0.00488)"
"Within samples","394 (112)","253 (125)","69.2 (91.2)","1e-04 (1e-04)","0.264 (0.084)"
