5,729,42,14,25,14,15,14,7,1,7,3,5,1,1,41,1,5,29,18,6,9,39,36,101,1,35,2,1,1,66,2,4,2,14,29,94,15,21,4,16,12,15,1,2
,,,Nursery_0_CA,Nursery_2007_CA,Nursery_2006_OR,Nursery_2007_OR,Nursery_2008_OR,Nursery_2004_OR,Nursery_2003_OR,Nursery_2005_OR,Nursery_2006_CA,Nursery_2004_CA,Nursery_2000_CA,Nursery_0_OR,Nursery_2008_CA,Nursery_2009_OR,Nursery_2010_OR,Nursery_2010_CA,Nursery_2011_CA,Nursery_2012_OR,Nursery_2012_CA,JHallCr_2001_OR,JHallCr_2002_OR,JHallCr_2003_OR,NFChetHigh_2003_OR,JHallCr_2004_OR,JHallCr_2005_OR,Coast_2006_OR,Coast_2010_OR,HunterCr_2011_OR,Coast_2011_OR,NFChetHigh_2012_OR,Coast_2012_OR,Winchuck_2012_OR,JHallCr_2013_OR,NFChetHigh_2013_OR,ChetcoMain_2013_OR,Winchuck_2013_OR,PistolRSF_2013_OR,Coast_2013_OR,Coast_2014_OR,NFChetHigh_2014_OR,ChetcoMain_2014_OR,JHallCr_2014_OR
Ind,Pop,PrMS6A1, ,Pr9C3A1, ,PrMS39A1, ,PrMS45A1, ,PrMS43A1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1411152-10B","Nursery_0_CA","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","Nursery_2007_CA","165","168","216","226","130","250","166","186","376","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","Nursery_2007_CA","165","168","216","226","130","246","166","186","345","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81-NM-1","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1413-1","Nursery_2006_OR","165","168","216","226","130","250","166","186","364","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07-83-7-A","Nursery_2007_OR","165","168","216","226","130","250","166","186","360","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ODA-06-1029-82B","Nursery_2006_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ODA-06-1029-82C","Nursery_2006_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ODA-06-1029-109A","Nursery_2006_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ODA-06-1029-109B","Nursery_2006_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118-28-A","Nursery_2008_OR","165","168","216","226","130","254","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08-206-44-B","Nursery_2008_OR","165","168","216","226","130","250","166","186","364","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08-206-44-D","Nursery_2008_OR","165","168","216","226","130","250","166","186","364","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08-206-44-E","Nursery_2008_OR","165","168","216","226","130","250","166","186","364","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"351-5-A","Nursery_2008_OR","165","168","216","226","130","250","166","186","281","376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"351-5-C","Nursery_2008_OR","165","168","216","226","130","250","166","186","281","376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"351-5-D","Nursery_2008_OR","165","168","216","226","130","250","166","186","281","376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"351-5-E","Nursery_2008_OR","165","168","216","226","130","250","166","186","281","376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04-76-C","Nursery_2004_OR","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04-335-2A","Nursery_2004_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04-189-B4","Nursery_2004_OR","165","168","216","226","130","242","166","186","372","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03-74-N10A-B","Nursery_2003_OR","165","168","216","226","130","246","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-2033-72","Nursery_2005_OR","165","168","216","226","130","250","166","186","349","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-2033-73","Nursery_2005_OR","165","168","216","226","130","250","166","186","349","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-2086-12","Nursery_2005_OR","165","168","216","226","130","250","166","186","368","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-2086-20","Nursery_2005_OR","165","168","216","226","130","250","166","186","360","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-2086-31","Nursery_2005_OR","165","168","216","226","130","250","166","186","364","477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-2086-34","Nursery_2005_OR","165","168","216","226","130","250","166","186","368","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05-2088-3","Nursery_2005_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-30","Nursery_2006_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-81-2","Nursery_2006_OR","165","168","216","226","130","250","166","186","364","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1036-71B","Nursery_2006_OR","165","168","216","226","130","250","166","186","364","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1036-71C","Nursery_2006_OR","165","168","216","226","130","250","166","186","364","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1029-122D","Nursery_2006_OR","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1029-122C","Nursery_2006_OR","165","168","216","226","130","254","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1029-122A","Nursery_2006_OR","165","168","216","226","130","254","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1029-98C","Nursery_2006_OR","165","168","216","226","130","250","166","186","345","481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06-1027-90","Nursery_2006_OR","165","168","216","226","130","250","166","186","364","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1369017-9","Nursery_2006_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1352535-6","Nursery_0_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1343990-17","Nursery_0_CA","165","168","216","226","130","246","166","186","376","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1344272-8","Nursery_0_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1411152-10A","Nursery_0_CA","165","168","216","226","130","250","166","186","368","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1341321-16","Nursery_0_CA","165","168","216","226","130","246","166","186","281","376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1418983-2","Nursery_0_CA","165","168","216","226","130","250","166","186","368","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1402871-B","Nursery_0_CA","165","168","216","226","130","246","166","186","372","493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1373915-5","Nursery_0_CA","165","168","216","226","130","246","166","186","281","372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1343990-10","Nursery_0_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
